CONTAINER ID   IMAGE                             COMMAND                  CREATED          STATUS          PORTS                                                             NAMES
b5d747872bf9   task2-booking-history-service     "python booking-hist…"   8 minutes ago    Up 8 minutes                                                                      booking-history-service
bbea6f5c5c2a   task2-booking-service             "python booking-serv…"   8 minutes ago    Up 8 minutes    0.0.0.0:50051->50051/tcp, [::]:50051->50051/tcp                   booking-service
825a8434f647   postgres:15                       "docker-entrypoint.s…"   59 minutes ago   Up 59 minutes   0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp                       booking-db
cf54a59803ad   confluentinc/cp-zookeeper:7.2.1   "/etc/confluent/dock…"   59 minutes ago   Up 59 minutes   2888/tcp, 0.0.0.0:2181->2181/tcp, [::]:2181->2181/tcp, 3888/tcp   task2-zookeeper-1
1de5fe344a2c   confluentinc/cp-kafka:7.2.1       "/etc/confluent/dock…"   59 minutes ago   Up 59 minutes   0.0.0.0:9092->9092/tcp, [::]:9092->9092/tcp                       task2-kafka-1
1ea317389f90   task2-monolith                    "java -jar app.jar"      59 minutes ago   Up 59 minutes   0.0.0.0:8084->8080/tcp, [::]:8084->8080/tcp                       hotelio-monolith
bfd60a7d4418   postgres:15                       "docker-entrypoint.s…"   59 minutes ago   Up 59 minutes   0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                       hotelio-db
76491c0fe198   postgres:15                       "docker-entrypoint.s…"   59 minutes ago   Up 59 minutes   0.0.0.0:5434->5432/tcp, [::]:5434->5432/tcp                       booking-history-db
73f6a46eb15c   a848e8d83e0d                      "./run_all.sh"           36 hours ago     Up 36 hours     50051/tcp                                                         xenodochial_pasteur
dc2b010e8c64   a848e8d83e0d                      "./run_all.sh"           36 hours ago     Up 36 hours     50051/tcp                                                         romantic_murdock
8ed933856cc2   a848e8d83e0d                      "./run_all.sh"           36 hours ago     Up 36 hours     50051/tcp                                                         charming_ride
